source	target	interaction	symmetry	weight	negation
at1g32410	at2g22425	ppi	symmetrical	1.0	affirmative
at3g66654	at4g32600	ppi	symmetrical	1.0	affirmative
at2g26180	at5g55930	ppi	symmetrical	1.0	affirmative
at1g45145	at3g52640	ppi	symmetrical	1.0	affirmative
at3g45780	at5g10450	ppi	symmetrical	0.0	affirmative
at2g26180	at4g26580	ppi	symmetrical	1.0	affirmative
at3g63260	at4g32000	ppi	symmetrical	0.0	affirmative
at1g71030	at4g00480	ppi	symmetrical	1.0	affirmative
at4g14640	at5g56030	ppi	symmetrical	1.0	affirmative
at5g11260	at2g43590	inhibition	asymmetrical	0.0	affirmative
at2g21160	at3g55090	ppi	symmetrical	1.0	affirmative
at4g26080	at5g35410	ppi	symmetrical	1.0	affirmative
at5g47910	at5g49540	ppi	symmetrical	1.0	affirmative
at1g29060	at1g76185	ppi	symmetrical	1.0	affirmative
at1g17280	at3g42725	ppi	symmetrical	1.0	affirmative
at1g26670	at2g35190	ppi	symmetrical	1.0	affirmative
at2g32380	at5g22290	ppi	symmetrical	1.0	affirmative
at1g59730	at1g74370	ppi	symmetrical	1.0	affirmative
at2g36010/at5g02470	at4g02070	positive_regulation	asymmetrical	1.0	affirmative
at2g37940	at5g20520	ppi	symmetrical	1.0	affirmative
at1g21240	at2g41400	ppi	symmetrical	1.0	affirmative
at3g01320	at5g56860	ppi	symmetrical	1.0	affirmative
at4g21390	at5g59650	ppi	symmetrical	1.0	affirmative
at3g13175	at3g55090	ppi	symmetrical	1.0	affirmative
at5g03545	at5g55330	ppi	symmetrical	1.0	affirmative
at1g55230	at3g17000	ppi	symmetrical	1.0	affirmative
at4g25200	at5g58575	ppi	symmetrical	1.0	affirmative
at1g49620	at2g27960	ppi	symmetrical	1.0	affirmative
at4g19700	at5g06970	ppi	symmetrical	1.0	affirmative
at1g34640	at3g56950	ppi	symmetrical	1.0	affirmative
at3g26370	at4g27420	ppi	symmetrical	1.0	affirmative
at3g22320	at5g58290	ppi	symmetrical	1.0	affirmative
at4g39050	at5g58950	ppi	symmetrical	1.0	affirmative
at2g38120	at4g37680	ppi	symmetrical	1.0	affirmative
at4g38830	at5g11890	ppi	symmetrical	1.0	affirmative
at2g26180	at4g30660	ppi	symmetrical	1.0	affirmative
at3g26200	at5g65020	ppi	symmetrical	1.0	affirmative
at3g26170	at3g48260	ppi	symmetrical	1.0	affirmative
at1g32500	at2g33330	ppi	symmetrical	1.0	affirmative
at1g11050	at5g49950	ppi	symmetrical	1.0	affirmative
at4g30845	at5g37050	ppi	symmetrical	1.0	affirmative
at4g32600	at4g37680	ppi	symmetrical	1.0	affirmative
at1g22920	at5g62880	ppi	symmetrical	1.0	affirmative
at2g24180	at5g42370	ppi	symmetrical	1.2875353165	affirmative
at3g54020	at5g13580	ppi	symmetrical	1.0	affirmative
at3g11810	at3g66654	ppi	symmetrical	1.0	affirmative
at2g20180	at5g26340	positive_regulation	asymmetrical	1.4715028685	affirmative
at4g09000	at5g38480	ppi	symmetrical	1.0	affirmative
at3g25805	at5g19410	ppi	symmetrical	1.0	affirmative
at2g04080	at5g63030	ppi	symmetrical	1.0	affirmative
at3g50110	at4g23270	ppi	symmetrical	1.0	affirmative
at2g20180	at5g45480	inhibition	asymmetrical	1.0	affirmative
at1g63120	at2g01420	ppi	symmetrical	0.0	affirmative
at4g37370	at5g27210	ppi	symmetrical	1.0	affirmative
at1g63120	at1g66340	ppi	symmetrical	1.0	affirmative
at3g21580	at4g27420	ppi	symmetrical	1.0	affirmative
at3g48890	at4g10850	ppi	symmetrical	1.0	affirmative
at1g19700	at1g30590	ppi	symmetrical	1.0	affirmative
