source	target	interaction	symmetry	weight	negation
at3g59790	at5g41200	phosphorylation	asymmetrical	1.0	affirmative
at5g03180	at5g22290	ppi	symmetrical	1.0	affirmative
at3g48750	at3g12280	phosphorylation	asymmetrical	1.0	affirmative
at1g63120	at5g27370	ppi	symmetrical	1.0	affirmative
at1g03600	at3g27960	ppi	symmetrical	1.0	affirmative
at1g47220	at5g63770	ppi	symmetrical	1.0	affirmative
at2g41090	at3g28450	ppi	symmetrical	1.3502549295	affirmative
at2g26180	at5g24000	ppi	symmetrical	1.0	affirmative
at1g34640	at1g50290	ppi	symmetrical	0.8401503496353727	affirmative
at3g46280	at5g06320	ppi	symmetrical	1.0	affirmative
at4g28980	at1g18040	phosphorylation	asymmetrical	1.0	affirmative
at1g59580	at5g17300	phosphorylation	asymmetrical	1.0	affirmative
at3g59790	at2g18060	phosphorylation	asymmetrical	1.0	affirmative
at1g29060	at4g18197	ppi	symmetrical	1.0	affirmative
at3g13950	at4g14455	ppi	symmetrical	1.0	affirmative
at3g08040	at3g46890	ppi	symmetrical	1.0	affirmative
